,index,name,lon,lat,type
0,0,Izumi Elementary School,130.731218,32.789012,Elementary School
1,1,Kumamoto Kokufu High School,130.728218,32.787735,High School
2,2,Izumi-Minami Elementary School,130.73056,32.782922,Elementary School
3,3,Izumi Junior High School,130.726915,32.783818,Junior High School
4,4,Izumi-Minami Junior High School,130.72803,32.775144,Junior High School
5,5,Yushinkan High School,130.730586,32.781433,High School
6,6,Issin Elementary School,130.694912,32.802807,Elementary School
7,7,Seizan Junior High School,130.692927,32.803201,Junior High School
8,8,Ninomaru Park,130.70184,32.806976,Park
9,9,Daiichi High School,130.700663,32.801571,High School
10,10,Oe Community Activity Support Office,130.724866,32.798974,Center
11,11,Oe Elementary School,130.725667,32.801528,Elementary School
12,12,Shirakawa Junior High School,130.722371,32.803838,Junior High School
13,13,Kyushu Gakuin Lutheran High School,130.721299,32.797975,High School
14,14,Kumamoto University Oe Gymnasium,130.714119,32.792934,Gymnasium
15,15,Kaishin High School,130.725414,32.799667,High School
16,16,Kumamoto Gakuen University,130.728975,32.804637,University
17,17,Kokaibashi Joryu-Sagan,130.722942,32.811272,Bridge
18,18,Obiyama Elementary School,130.74104,32.80212,Elementary School
19,19,Obiyama 7-chome Donguri Park,130.758136,32.80733,Park
20,20,Obiyama-Nishi Elementary School,130.741462,32.80255,Elementary School
21,21,Obiyama Junior High School,130.744646,32.801232,Junior High School
22,22,Kurokami Elementary School,130.719987,32.814686,Elementary School
23,23,Sakurayama Junior High School,130.731838,32.816298,Junior High School
24,24,Ryunan Junior High School,130.715096,32.817743,Junior High School
25,25,Hitsuyukan High School,130.713969,32.815595,High School
26,26,Kumamoto University Kurokami Athletic Field,130.725449,32.815571,Gymnasium
27,27,Kokaibashi Joryu-Ugan,130.725371,32.811271,Bridge
28,28,Seiseiko High School,130.723965,32.817298,High School
29,29,Sun Life Kumamoto,130.719932,32.819827,Hall
30,30,Tsuboi Chuo Park,130.717113,32.820081,Park
31,31,Keitoku Elementary School,130.701619,32.796876,Elementary School
32,32,Kozan Elementary School,130.700036,32.789199,Elementary School
33,33,Konan Junior High School,130.698986,32.787446,Junior High School
34,34,Ryokuchi Park next to Shirakawa Bridge,130.693465,32.789553,Park
35,35,Chorokubashi Jokaryu-Sagan,130.703299,32.794072,Park
36,36,Kosen Elementary School,130.710029,32.812921,Elementary School
37,37,Keiryo Junior High School,130.704151,32.81673,Junior High School
38,38,"Elementary School and Junior High School Attached to Faculty of
Education, Kumamoto University",130.703503,32.818671,Junior High School
39,39,Gofuku Elementary School,130.695796,32.795646,Elementary School
40,40,Gofuku Community Activity Support Office,130.724868,32.798994,Center
41,41,Joto Elementary School,130.708687,32.808508,Elementary School
42,42,Toen Junior High School,130.707943,32.808619,Junior High School
43,43,Ginzabashi-ittai Shirakawa Kawagishi,130.712774,32.800024,Park
44,44,Shirakawa Elementary School,130.716769,32.802274,Elementary School
45,45,Kumamoto University Honjo Gymnasium,130.714154,32.793067,Gymnasium
46,46,Sunatori Elementary School,130.738219,32.786814,Elementary School
47,47,Kumamoto Shogyo High School,130.73998,32.786348,High School
